date,productId,quantity
2024-01-01,P1,9
2024-01-02,P1,23
2024-01-03,P1,16
2024-01-04,P1,21
2024-01-05,P1,28
2024-01-06,P1,14
2024-01-07,P1,17
2024-01-08,P1,19
2024-01-09,P1,22
2024-01-10,P1,24
2024-01-11,P1,20
2024-01-12,P1,17
2024-01-13,P1,11
2024-01-14,P1,20
2024-01-15,P1,25
2024-01-16,P1,22
2024-01-17,P1,14
2024-01-18,P1,20
2024-01-19,P1,19
2024-01-20,P1,2
2024-01-21,P1,20
2024-01-22,P1,23
2024-01-23,P1,16
2024-01-24,P1,19
2024-01-25,P1,16
2024-01-26,P1,23
2024-01-27,P1,23
2024-01-28,P1,17
2024-01-29,P1,22
2024-01-30,P1,17
2024-01-31,P1,14
2024-02-01,P1,11
2024-02-02,P1,28
2024-02-03,P1,19
2024-02-04,P1,27
2024-02-05,P1,10
2024-02-06,P1,15
2024-02-07,P1,25
2024-02-08,P1,15
2024-02-09,P1,22
2024-02-10,P1,20
2024-02-11,P1,9
2024-02-12,P1,13
2024-02-13,P1,27
2024-02-14,P1,26
2024-02-15,P1,15
2024-02-16,P1,18
2024-02-17,P1,11
2024-02-18,P1,13
2024-02-19,P1,19
2024-02-20,P1,33
2024-02-21,P1,5
2024-02-22,P1,20
2024-02-23,P1,14
2024-02-24,P1,16
2024-02-25,P1,16
2024-02-26,P1,21
2024-02-27,P1,24
2024-02-28,P1,25
2024-02-29,P1,22
2024-03-01,P1,15
2024-03-02,P1,14
2024-03-03,P1,18
2024-03-04,P1,16
2024-03-05,P1,19
2024-03-06,P1,19
2024-03-07,P1,17
2024-03-08,P1,19
2024-03-09,P1,21
2024-03-10,P1,15
2024-03-11,P1,21
2024-03-12,P1,26
2024-03-13,P1,16
2024-03-14,P1,19
2024-03-15,P1,21
2024-03-16,P1,12
2024-03-17,P1,23
2024-03-18,P1,19
2024-03-19,P1,18
2024-03-20,P1,20
2024-03-21,P1,8
2024-03-22,P1,19
2024-03-23,P1,25
2024-03-24,P1,17
2024-03-25,P1,16
2024-03-26,P1,27
2024-03-27,P1,17
2024-03-28,P1,21
2024-03-29,P1,19
